,city,Cloudiness,Country,Date,Humidity,lat,lon,Max Temp,Wind Speed
0,Aksarayskiy,0,RU,1570268215,28,46.79,48.01,23.0,8.0
1,New Norfolk,40,AU,1570268217,62,-42.78,147.06,12.0,3.6
2,Marzuq,12,YE,1570268219,15,14.4,46.47,31.31,6.82
3,Rikitea,100,PF,1570268221,81,-23.12,-134.97,21.01,9.86
4,East London,20,ZA,1570268222,57,-33.02,27.91,24.0,6.7
5,Hilo,75,US,1570268224,73,19.71,-155.08,23.0,3.1
6,Bandundu,100,CD,1570268226,97,-3.32,17.38,21.82,1.18
7,Goryachegorsk,100,RU,1570268228,82,55.41,88.92,6.74,7.05
8,Vaini,40,IN,1570268229,58,15.34,74.49,29.0,1.5
9,Moerai,100,PF,1570268231,84,-22.43,-151.33,23.24,6.34
10,Alofi,85,NU,1570268233,73,-19.06,-169.92,22.0,7.7
11,Umtata,0,ZA,1570268235,56,-31.59,28.78,20.0,2.1
12,Willmar,90,US,1570268236,93,45.12,-95.04,9.0,6.7
13,Bakchar,100,RU,1570268238,89,57.02,82.07,11.46,3.53
14,Mar del Plata,0,AR,1570268025,64,-46.43,-67.52,5.56,2.8
15,Albany,20,US,1570268241,92,42.65,-73.75,2.22,1.5
16,Springdale,1,US,1570268166,68,36.19,-94.13,18.0,4.6
17,Bonavista,46,CA,1570268245,85,48.65,-53.11,3.33,2.24
18,Arraial do Cabo,75,BR,1570268246,88,-22.97,-42.02,23.0,9.3
19,Paracuru,40,BR,1570268248,65,-3.41,-39.03,25.0,5.1
20,Iqaluit,75,CA,1570268250,80,63.75,-68.52,1.0,2.1
21,Dikson,99,RU,1570268252,78,73.51,80.55,-2.93,8.78
22,Iskateley,100,RU,1570268253,96,67.68,53.15,1.07,6.61
23,Pevek,100,RU,1570268255,83,69.7,170.27,-1.75,11.15
24,Kapaa,20,US,1570268162,78,22.08,-159.32,26.0,6.7
25,Cherskiy,100,RU,1570268258,91,68.75,161.3,-4.96,5.66
26,Bambous Virieux,40,MU,1570268260,69,-20.34,57.76,27.0,5.1
27,Am Timan,100,TD,1570268262,91,11.04,20.28,23.68,1.38
28,Gamba,0,CN,1570268264,27,28.28,88.52,10.11,3.79
29,Iberia,40,PE,1570268265,89,-11.41,-69.49,21.93,1.36
30,Sisimiut,100,GL,1570268267,84,66.94,-53.67,4.01,14.63
31,Belaya Gora,100,RU,1570268269,64,68.54,146.19,-3.36,4.1
32,Luanda,75,AO,1570268270,74,-8.83,13.24,26.0,3.1
33,Mezen,100,RU,1570268272,98,65.85,44.24,1.07,1.57
34,Road Town,1,VG,1570268274,78,18.42,-64.62,28.0,2.83
35,Ushuaia,75,AR,1570268162,80,-54.81,-68.31,2.0,11.8
36,Cape Town,0,ZA,1570268026,55,-33.93,18.42,22.22,3.6
37,Miri,100,NG,1570268279,66,10.31,9.75,25.5,0.4
38,Yellowknife,75,CA,1570268258,100,62.45,-114.38,3.0,4.6
39,Marawi,100,PH,1570268282,76,8.0,124.29,27.22,1.79
40,Ilulissat,100,GL,1570268284,74,69.22,-51.1,2.0,1.0
41,Aguimes,40,ES,1570268286,73,27.91,-15.45,24.44,12.3
42,Busselton,11,AU,1570268287,42,-33.64,115.35,17.78,9.15
43,Port Alfred,1,ZA,1570268289,79,-33.59,26.89,20.56,2.24
44,Itarema,100,BR,1570268291,64,-2.92,-39.92,25.61,3.74
45,Aurich,40,DE,1570268293,76,53.47,7.48,12.78,4.6
46,Comodoro Rivadavia,0,AR,1570268294,56,-45.87,-67.48,7.0,4.1
47,Borogontsy,76,RU,1570268296,71,62.67,131.17,-3.46,1.833
48,Yar-Sale,100,RU,1570268298,61,66.83,70.83,3.88,1.404
49,Vestmannaeyjar,100,IS,1570268300,89,63.44,-20.27,9.78,24.18
50,Zhigansk,100,RU,1570268301,92,66.77,123.37,-3.24,5.45
51,Castro,90,CL,1570268303,100,-42.48,-73.76,2.0,1.052
52,Punta Arenas,75,CL,1570268305,60,-53.16,-70.91,4.0,5.1
53,Newcastleton,100,GB,1570268306,100,55.18,-2.81,12.78,4.1
54,Airai,16,TL,1570268308,56,-8.93,125.41,26.71,1.31
55,Port-Gentil,40,GA,1570268092,78,-0.72,8.78,28.0,5.7
56,Deputatskiy,100,RU,1570268312,90,69.3,139.9,-9.53,4.85
57,Hermanus,0,ZA,1570268313,57,-34.42,19.24,22.22,1.34
58,Datong,81,CN,1570268315,33,40.09,113.3,12.85,3.263
59,Loandjili,75,CG,1570268317,88,-4.77,11.87,26.0,5.7
60,Thompson,90,CA,1570268318,81,55.74,-97.86,7.0,2.6
61,Qixingtai,100,CN,1570268320,80,30.41,111.89,16.11,8.113
62,Umm Lajj,0,SA,1570268322,70,25.02,37.27,29.74,3.9
63,Vilhena,3,BR,1570268324,86,-12.74,-60.15,20.4,1.223
64,Jamestown,23,AU,1570268325,12,-33.21,138.6,30.87,5.77
65,Atuona,0,PF,1570268327,73,-9.8,-139.03,26.92,8.43
66,Barrow,0,AR,1570268329,91,-38.31,-60.23,3.18,3.79
67,Carnarvon,0,ZA,1570268330,4,-30.97,22.13,24.59,7.12
68,Xunchang,31,CN,1570268332,67,28.45,104.71,23.66,2.0
69,Petropavlovsk-Kamchatskiy,90,RU,1570268334,96,53.05,158.65,0.0,5.425
70,Puerto Ayora,44,EC,1570268267,96,-0.74,-90.35,18.33,1.79
71,Saskylakh,0,RU,1570268337,91,71.97,114.09,-8.92,2.8
72,Jaisalmer,0,IN,1570268131,24,26.91,70.91,35.12,0.75
73,Mikhaylovka,100,RU,1570268341,47,52.96,103.29,11.04,4.19
74,Port Hardy,40,CA,1570268343,100,50.7,-127.42,8.0,2.6
75,Rajshahi,75,BD,1570268344,55,24.37,88.59,32.55,1.68
76,Saint-Philippe,1,CA,1570268346,66,45.36,-73.48,2.78,2.1
77,Podyuga,97,RU,1570268348,79,61.09,40.86,2.55,5.002
78,Moyale,100,ET,1570268350,75,3.52,39.05,22.67,4.05
79,Port Moresby,90,PG,1570268351,94,-9.47,147.16,25.0,10.8
80,Denta,0,RO,1570268353,62,45.35,21.25,13.89,1.5
81,Khatanga,24,RU,1570268355,74,71.98,102.47,-4.77,8.052
82,Suhbaatar,0,MN,1570268357,41,50.23,106.21,11.86,3.092
83,Narsaq,59,GL,1570268358,30,60.91,-46.05,12.0,5.7
84,Wahiawa,20,US,1570268360,69,21.5,-158.02,27.0,5.7
85,Kodiak,90,US,1570268362,72,39.95,-94.76,15.0,4.6
86,Avarua,100,CK,1570268364,64,-21.21,-159.78,22.0,1.5
87,Show Low,1,US,1570268366,76,34.25,-110.03,11.11,4.65
88,Bredasdorp,0,ZA,1570268367,40,-34.53,20.04,23.0,3.6
89,Fortuna,1,US,1570268369,93,40.6,-124.16,8.33,3.6
90,Lannion,90,FR,1570268335,93,48.73,-3.46,16.11,4.6
91,Mount Gambier,100,AU,1570268373,72,-37.83,140.78,18.0,4.1
92,Port Shepstone,97,ZA,1570268374,66,-30.74,30.45,21.93,4.448
93,Penzance,75,GB,1570268376,100,50.12,-5.53,16.11,5.1
94,Codrington,60,AU,1570268378,82,-28.95,153.24,17.0,0.5
95,Namibe,0,AO,1570268380,64,-15.19,12.15,23.0,7.2
96,Qaanaaq,100,GL,1570268382,96,77.48,-69.36,-4.47,2.205
97,Namatanai,31,PG,1570268384,79,-3.66,152.44,26.86,2.15
98,Ponta do Sol,0,BR,1570268386,82,-20.63,-46.0,17.13,3.57
99,Srednekolymsk,100,RU,1570268388,79,67.46,153.71,-5.19,3.87
100,San Severino Marche,40,IT,1570268389,93,43.23,13.18,17.78,2.1
101,Cayenne,0,GF,1570268391,94,4.94,-52.33,23.0,1.15
102,Georgetown,40,GY,1570268393,100,6.8,-58.16,24.0,2.1
103,Kuliyapitiya,40,LK,1570268395,74,7.47,80.04,29.0,5.1
104,Ilheus,34,BR,1570268397,95,-14.79,-39.05,19.36,0.81
105,Lebanon,1,US,1570268399,80,40.34,-76.42,6.67,2.77
106,Tasiilaq,71,GL,1570268400,75,65.61,-37.64,5.0,17.0
107,Kuybysheve,100,UA,1570268402,60,47.36,36.65,20.1,2.33
108,Northam,40,AU,1570268404,59,-31.65,116.67,19.0,5.1
109,Nome,1,US,1570268406,88,30.04,-94.42,24.0,1.5
110,Tecoanapa,40,MX,1570268407,88,16.99,-99.26,26.0,1.43
111,Sistranda,20,NO,1570268409,69,63.73,8.83,3.33,3.6
112,Chokurdakh,100,RU,1570268411,91,70.62,147.9,-2.96,9.76
113,Puri,0,ID,1570268413,30,-7.54,112.45,32.34,8.61
114,Buala,43,SB,1570268415,76,-8.15,159.59,27.12,1.5
115,Moron,100,HT,1570268417,78,18.56,-74.26,26.19,2.4
116,Hutchinson,90,US,1570268418,93,38.06,-97.93,20.0,6.7
117,Seoul,75,KR,1570268377,67,37.57,126.98,20.0,1.5
118,Mataura,50,NZ,1570268422,78,-46.19,168.86,7.22,1.79
119,Longyearbyen,75,NO,1570268424,74,78.22,15.63,3.0,6.2
120,Tshela,60,CD,1570268426,54,-4.99,12.94,31.66,0.92
121,Butaritari,100,KI,1570268427,66,3.07,172.79,29.24,4.21
122,Ati,100,TD,1570268429,78,13.21,18.34,25.23,1.636
123,Progreso,90,UY,1570268431,100,-34.68,-56.22,12.78,10.3
124,Solnechnyy,0,RU,1570268433,79,50.72,136.64,1.06,0.809
125,Ust-Kulom,100,RU,1570268435,95,61.69,53.69,5.24,2.37
126,Lebu,75,ET,1570268437,49,8.96,38.73,20.0,6.2
127,Lagoa,0,PT,1570268439,68,37.14,-8.45,20.56,1.0
128,Aktau,0,KZ,1570268441,30,43.65,51.16,25.0,8.0
129,Batman,0,TR,1570268443,22,37.88,41.13,31.0,1.0
130,Ionia,1,US,1570268445,87,42.99,-85.07,7.0,2.6
131,Lompoc,1,US,1570268447,87,34.64,-120.46,18.89,3.1
132,Carballo,20,ES,1570268448,77,43.21,-8.69,17.78,1.5
133,Havoysund,75,NO,1570268451,86,71.0,24.66,5.0,7.7
134,Ihosy,0,MG,1570268452,47,-22.4,46.13,25.73,3.51
135,Portland,1,US,1570268448,80,43.66,-70.25,4.44,2.1
136,Vangaindrano,79,MG,1570268456,73,-23.35,47.6,25.63,3.24
137,Nikolskoye,75,RU,1570268458,69,59.7,30.79,4.44,4.0
138,Esperance,90,AU,1570268460,93,-33.86,121.89,14.0,8.2
139,Faanui,0,PF,1570268462,84,-16.48,-151.75,26.05,5.09
140,Aykhal,90,RU,1570268464,92,65.95,111.51,-3.0,5.0
141,Nadym,10,RU,1570268466,63,65.53,72.51,5.17,4.34
142,Los Llanos de Aridane,75,ES,1570268468,73,28.66,-17.92,24.0,6.2
143,Port Lincoln,75,AU,1570268469,83,-34.72,135.86,16.42,12.94
144,Tall Kayf,0,TR,1570268472,17,37.08,41.07,32.0,2.1
145,Lixourion,20,GR,1570268473,46,38.2,20.43,23.0,5.7
146,Havelock,20,US,1570268475,56,34.88,-76.9,22.0,8.7
147,Bulaevo,92,KZ,1570268477,53,54.91,70.44,18.48,5.956
148,Damghan,0,IR,1570268479,36,36.17,54.34,15.05,3.36
149,Kilindoni,100,TZ,1570268481,79,-7.91,39.67,26.53,6.83
150,Bluff,0,AU,1570268483,25,-23.58,149.07,23.83,3.5
151,Yulara,0,AU,1570268485,6,-25.24,130.99,35.0,1.0
